Private School Name,State Name [Private School] Latest available year,State Name [Private School] 2015-16,Private School Name [Private School] 2015-16,County Name [Private School] 2015-16
ACADEMY IN MANAYUNK,PENNSYLVANIA,PENNSYLVANIA,AIM ACADEMY,MONTGOMERY
ACADEMY MONTESSORI INTERNATIONALE,MISSOURI,MISSOURI,ACADEMY MONTESSORI INTERNATIONALE,JACKSON
ACADEMY MONTESSORI PRESCHOOL,NEW MEXICO,NEW MEXICO,ACADEMY MONTESSORI PRESCHOOL,BERNALILLO
ACADEMY NW/FAMILY ACADEMY,WASHINGTON,WASHINGTON,ACADEMY NW/FAMILY ACADEMY,KING
ACADEMY OF ABILITY,FLORIDA,FLORIDA,ACADEMY OF ABILITY,ORANGE
ACADEMY OF ACADEMIC EXCELLENCE,VIRGINIA,VIRGINIA,ACADEMY OF ACADEMIC EXCELLENCE,HENRICO
ACADEMY OF COASTAL CAROLINA,NORTH CAROLINA,NORTH CAROLINA,ACADEMY OF COASTAL CAROLINA,BRUNSWICK
ACADEMY OF EARLY LEARNING,VIRGINIA,VIRGINIA,ACADEMY OF EARLY LEARNING,VIRGINIA BEACH
ACADEMY OF EXCELLENCE,NORTH CAROLINA,NORTH CAROLINA,PATHWAYS MIDDLE AND HIGH,NEW HANOVER
ACADEMY OF EXCELLENCE,NORTH CAROLINA,NORTH CAROLINA,ACADEMY OF EXCELLENCE,IREDELL
ACADEMY OF EXCELLENCE,WISCONSIN,WISCONSIN,ACADEMY OF EXCELLENCE,MILWAUKEE
ACADEMY OF GREATNESS AND EXCELLENCE,NEW JERSEY,NEW JERSEY,ACADEMY OF GREATNESS AND EXCELLENCE,BERGEN
ACADEMY OF HOPE,NORTH CAROLINA,NORTH CAROLINA,ACADEMY OF HOPE,JOHNSTON
ACADEMY OF MONTESSORI INTERNATIONAL,FLORIDA,FLORIDA,ACADEMY OF MONTESSORI INTERNATIONAL,HILLSBOROUGH
ACADEMY OF MT ST URSULA,NEW YORK,NEW YORK,ACADEMY OF MT ST URSULA,BRONX
ACADEMY OF OUR LADY,ILLINOIS,ILLINOIS,MOST BLESSED TRINITY ACADEMY,LAKE
ACADEMY OF OUR LADY,LOUISIANA,LOUISIANA,ACADEMY OF OUR LADY,JEFFERSON
ACADEMY OF OUR LADY OF MERCY - LAURALTON HALL,CONNECTICUT,CONNECTICUT,ACADEMY OF OUR LADY OF MERCY - LAURALTON HALL,NEW HAVEN
ACADEMY OF OUR LADY OF PEACE,CALIFORNIA,CALIFORNIA,ACADEMY OF OUR LADY OF PEACE,SAN DIEGO
ACADEMY OF OUR LADY OF PEACE,NEW JERSEY,NEW JERSEY,ACADEMY OF OUR LADY OF PEACE,UNION
ACADEMY OF SAINT ELIZABETH,NEW JERSEY,NEW JERSEY,ACADEMY OF SAINT ELIZABETH,MORRIS
ACADEMY OF SAINT LOUIS,MISSOURI,MISSOURI,ACADEMY OF SAINT LOUIS,ST. LOUIS
ACADEMY OF SAUT UL FURQAU,NEW JERSEY,NEW JERSEY,ACADEMY OF SAUT UL FURQAU,BERGEN
ACADEMY OF ST ADALBERT,OHIO,OHIO,ACADEMY OF ST ADALBERT,CUYAHOGA
ACADEMY OF ST BARTHOLOMEW,OHIO,OHIO,ACADEMY OF ST BARTHOLOMEW,CUYAHOGA
ACADEMY OF ST BENEDICT THE AFRICAN,ILLINOIS,ILLINOIS,ACADEMY OF ST BENEDICT THE AFRICAN,COOK
